Sukunimi;Yhteensä;;;
Ylitalo;2911;;;
Holm;2904;;;
Jansson;2894;;;
Alatalo;2882;;;
Kivistö;2878;;;
Kanerva;2870;;;
Tervo;2858;;;
Kiviniemi;2854;;;
Varis;2851;;;
Rytkönen;2849;;;
Puhakka;2846;;;
Soininen;2843;;;
Henriksson;2832;;;
Väyrynen;2830;;;
Erkkilä;2825;;;
Kurki;2804;;;
Rauhala;2800;;;
Taipale;2798;;;
Tarvainen;2770;;;
Karvinen;2766;;;
Pääkkönen;2765;;;
Pajunen;2764;;;
Berg;2755;;;
Nyberg;2749;;;
Ojanen;2737;;;
Peltoniemi;2726;;;
Puustinen;2724;;;
Kilpeläinen;2721;;;
Laiho;2719;;;
Mäntylä;2708;;;
Lassila;2693;;;
Mattsson;2691;;;
Kankaanpää;2686;;;
Oinonen;2685;;;
Kuisma;2680;;;
Tikka;2657;;;
Lehikoinen;2651;;;
Piirainen;2651;;;
Backman;2644;;;
Kivinen;2630;;;
Pirinen;2630;;;
Räty;2627;;;
Haapanen;2625;;;
Pohjola;2607;;;
Kärki;2605;;;
Niiranen;2604;;;
Korpi;2598;;;
Jaatinen;2587;;;
Lipponen;2570;;;
Kauppila;2569;;;
Haverinen;2565;;;
Parkkinen;2563;;;
Jauhiainen;2551;;;
Kaikkonen;2533;;;
Moisio;2520;;;
Jäntti;2515;;;
Ylönen;2514;;;
Keinänen;2508;;;
Ruuskanen;2500;;;
Valkonen;2500;;;
Haataja;2493;;;
Vesterinen;2490;;;
Rossi;2484;;;
Raatikainen;2475;;;
Venäläinen;2463;;;
Holmberg;2462;;;
Sainio;2447;;;
Mononen;2442;;;
Syrjälä;2435;;;
Nikula;2417;;;
Anttonen;2408;;;
Järvelä;2408;;;
Holmström;2399;;;
Kovanen;2394;;;
Pekkala;2381;;;
Lilja;2372;;;
Tirkkonen;2356;;;
Palomäki;2350;;;
Linna;2336;;;
Pehkonen;2332;;;
Kämäräinen;2331;;;
Ahokas;2327;;;
Männistö;2317;;;
Latvala;2313;;;
Sallinen;2311;;;
Kuronen;2310;;;
Alanko;2306;;;
Huuskonen;2303;;;
Seppä;2302;;;
Karhunen;2299;;;
Valkama;2293;;;
Sirén;2287;;;
Vuorela;2287;;;
Konttinen;2271;;;
Elo;2265;;;
Tiihonen;2263;;;
Oikarinen;2254;;;
Muhonen;2251;;;
Salomaa;2236;;;
Riihimäki;2230;;;
Sjöblom;2229;;;
Alanen;2227;;;
Soini;2218;;;
Eloranta;2217;;;
Kiuru;2214;;;
Sirviö;2210;;;
Simola;2191;;;
Keskitalo;2190;;;
Reinikainen;2189;;;
Pekkarinen;2183;;;
Rönkkö;2173;;;
Ryynänen;2172;;;
Forsman;2166;;;
Marttinen;2159;;;
Lammi;2154;;;
Snellman;2153;;;
Kari;2148;;;
Airaksinen;2140;;;
Järvi;2139;;;
Ylinen;2138;;;
Nevala;2130;;;
Kalliokoski;2126;;;
Haapaniemi;2121;;;
Aro;2116;;;
Simonen;2107;;;
Pöllänen;2102;;;
Holappa;2100;;;
Ihalainen;2092;;;
Uotila;2092;;;
Grönroos;2083;;;
Antikainen;2081;;;
Puranen;2080;;;
Sutinen;2076;;;
Kauppi;2068;;;
Tähtinen;2063;;;
Joensuu;2055;;;
Sihvonen;2055;;;
Lankinen;2045;;;
Aarnio;2042;;;
Lehti;2021;;;
Paavilainen;2021;;;
Toivola;2021;;;
Sundström;2016;;;
Kauhanen;1997;;;
Sivonen;1992;;;
Kiiskinen;1991;;;
Virolainen;1984;;;
Törmänen;1974;;;
Hassinen;1972;;;
Friman;1966;;;
Suvanto;1965;;;
Luoto;1964;;;
Sormunen;1962;;;
Eerola;1958;;;
Luostarinen;1958;;;
Westerlund;1958;;;
Koivuniemi;1953;;;
Nordström;1945;;;
Ruohonen;1926;;;
Kotilainen;1919;;;
Nenonen;1908;;;
Ruuska;1902;;;
Tuomisto;1899;;;
Sinisalo;1888;;;
Kiiski;1881;;;
Nygård;1880;;;
Björklund;1871;;;
Sinkkonen;1869;;;
Pietikäinen;1864;;;
Antila;1862;;;
Sorsa;1860;;;
Rajamäki;1858;;;
Tervonen;1858;;;
Koljonen;1857;;;
Laamanen;1851;;;
Huusko;1846;;;
Pikkarainen;1845;;;
Kuokkanen;1843;;;
Tenhunen;1839;;;
Piiroinen;1838;;;
Suomela;1835;;;
Lämsä;1833;;;
Ukkonen;1832;;;
Ekman;1829;;;
Kekkonen;1825;;;
Siitonen;1821;;;
Laitila;1816;;;
Lind;1814;;;
Forsström;1811;;;
Paajanen;1800;;;
Leppälä;1797;;;
Jylhä;1793;;;
Nyström;1789;;;
Suomi;1787;;;
Vuorio;1787;;;
Neuvonen;1783;;;
Bergman;1780;;;
Alho;1775;;;
Arola;1773;;;
Junttila;1770;;;
Mäkitalo;1770;;;
Vanhanen;1768;;;
Sandberg;1765;;;
Lyytikäinen;1760;;;
Saarelainen;1760;;;
Wikström;1758;;;
Tahvanainen;1756;;;
Vepsäläinen;1755;;;
Pakkanen;1753;;;
Vainionpää;1752;;;
Kujanpää;1751;;;
Närhi;1751;;;
Nyholm;1748;;;
Jantunen;1746;;;
Kontio;1744;;;
Lempinen;1742;;;
Pöyhönen;1736;;;
Hakanen;1734;;;
Tapio;1733;;;
Helander;1731;;;
Kosunen;1731;;;
Suutari;1729;;;
Hyytiäinen;1725;;;
Honkala;1719;;;
Hurme;1718;;;
Hynninen;1713;;;
Minkkinen;1713;;;
Tuomainen;1710;;;
Inkinen;1701;;;
Ekholm;1693;;;
Tauriainen;1686;;;
Saukkonen;1683;;;
Kaartinen;1682;;;
Kääriäinen;1678;;;
Rintamäki;1673;;;
Remes;1667;;;
Pirhonen;1666;;;
Piironen;1655;;;
Kautto;1653;;;
Nummela;1652;;;
Palonen;1649;;;
Pyykkö;1639;;;
Puttonen;1637;;;
Nguyen;1635;;;
Nurmela;1635;;;
Saukko;1630;;;
Itkonen;1629;;;
Lukkarinen;1628;;;
Söderlund;1626;;;
Mohamed;1625;;;
Harjula;1619;;;
Selin;1619;;;
Koivu;1616;;;
Romppanen;1614;;;
Tammi;1613;;;
Kivioja;1611;;;
Grönlund;1610;;;
Vanhala;1608;;;
Santala;1604;;;
Halttunen;1601;;;
Nikkanen;1599;;;
Määttänen;1597;;;
Tukiainen;1591;;;
Tuomaala;1590;;;
Tiilikainen;1588;;;
Tossavainen;1585;;;
Setälä;1581;;;
Pekkanen;1580;;;
Kananen;1579;;;
Myllylä;1579;;;
Mäkilä;1578;;;
Pyykkönen;1575;;;
Välimaa;1575;;;
Ali;1574;;;
Kalliomäki;1572;;;
Sundqvist;1571;;;
Koivumäki;1568;;;
Lindeman;1566;;;
Piispanen;1562;;;
Ryhänen;1561;;;
Tuomela;1549;;;
Tyni;1546;;;
Kuitunen;1543;;;
Valtanen;1535;;;
Ahtiainen;1533;;;
Lintunen;1525;;;
Happonen;1522;;;
Hakola;1515;;;
Hovi;1512;;;
Sivula;1512;;;
Siekkinen;1507;;;
Hellsten;1506;;;
Ketonen;1504;;;
Tuhkanen;1497;;;
Pietiläinen;1495;;;
Vesala;1490;;;
Hakulinen;1488;;;
Päivärinta;1488;;;
Kangasniemi;1487;;;
Hellman;1486;;;
Kataja;1486;;;
Siltanen;1484;;;
Rämö;1479;;;
Poutanen;1474;;;
Nyyssönen;1465;;;
Pettersson;1462;;;
Piipponen;1461;;;
Montonen;1459;;;
Vänskä;1453;;;
Kuusinen;1449;;;
Pellinen;1449;;;
Toikka;1449;;;
Peltomäki;1447;;;
Haapalainen;1445;;;
Piippo;1445;;;
Salin;1445;;;
Kuivalainen;1444;;;
Lindén;1442;;;
Turtiainen;1442;;;
Honkonen;1441;;;
Talvitie;1440;;;
Torvinen;1440;;;
Mäntynen;1438;;;
Stenberg;1437;;;
Wallenius;1436;;;
Vaittinen;1424;;;
Räihä;1422;;;
Sandström;1421;;;
Sjöberg;1421;;;
Parkkonen;1416;;;
Valli;1414;;;
Kuikka;1413;;;
Kuittinen;1409;;;
Mykkänen;1409;;;
Palosaari;1409;;;
Syrjänen;1407;;;
Jaakola;1403;;;
Kärnä;1395;;;
Jalkanen;1394;;;
Ahmed;1392;;;
Iivonen;1392;;;
Soikkeli;1391;;;
Nikkilä;1390;;;
Kuparinen;1388;;;
Nikkinen;1388;;;
Herranen;1386;;;
Sippola;1385;;;
Hallikainen;1384;;;
Jäppinen;1384;;;
Utriainen;1384;;;
Suni;1379;;;
Grönholm;1377;;;
Orava;1368;;;
Lönnqvist;1367;;;
Männikkö;1366;;;
Rahkonen;1364;;;
Lamberg;1359;;;
Pellikka;1359;;;
Hynynen;1358;;;
Savela;1354;;;
Nordlund;1353;;;
Kakko;1351;;;
Pursiainen;1349;;;
Mähönen;1348;;;
Puumalainen;1348;;;
Tuomola;1348;;;
Vuorenmaa;1347;;;
Annala;1346;;;
Raunio;1346;;;
Reijonen;1346;;;
Katajamäki;1343;;;
Ojanperä;1343;;;
Niskala;1341;;;
Vatanen;1338;;;
Öhman;1333;;;
Saikkonen;1331;;;
Pulli;1329;;;
Putkonen;1329;;;
Manner;1328;;;
Salovaara;1328;;;
Peltomaa;1327;;;
Pohjonen;1327;;;
Viljakainen;1327;;;
Ervasti;1326;;;
Kaunisto;1324;;;
Sairanen;1324;;;
Isotalo;1321;;;
Leivo;1318;;;
Lappi;1317;;;
Kukkola;1316;;;
Sundberg;1316;;;
Juutilainen;1315;;;
Nissilä;1315;;;
Kaukonen;1311;;;
Numminen;1310;;;
Nordman;1309;;;
Vehviläinen;1308;;;
Naukkarinen;1306;;;
Hukkanen;1305;;;
Sipola;1305;;;
Kankkunen;1302;;;
Olkkonen;1302;;;
Kekäläinen;1299;;;
Tynkkynen;1299;;;
Pynnönen;1298;;;
Vauhkonen;1298;;;
Wallin;1298;;;
Heimonen;1296;;;
Väätäinen;1292;;;
Virkkunen;1291;;;
Kurvinen;1290;;;
Oja;1290;;;
Pihlajamäki;1287;;;
Suokas;1287;;;
Haikonen;1285;;;
Huhta;1284;;;
Jämsä;1284;;;
Kervinen;1281;;;
Mutanen;1276;;;
Siltala;1274;;;
Lähde;1270;;;
Vikman;1267;;;
Holma;1265;;;
Mäkeläinen;1262;;;
Reponen;1262;;;
Säkkinen;1262;;;
Vanhatalo;1261;;;
Kohonen;1260;;;
Pihlaja;1258;;;
Palmu;1257;;;
Pylkkänen;1257;;;
Haanpää;1255;;;
Hurskainen;1255;;;
Malmberg;1251;;;
Lintula;1250;;;
Roos;1248;;;
Kaipainen;1247;;;
Päivinen;1246;;;
Murto;1244;;;
Vainikka;1243;;;
Blom;1241;;;
Huhtanen;1241;;;
Haapakoski;1240;;;
Kumpula;1240;;;
Lindell;1240;;;
Mannila;1240;;;
Ovaska;1237;;;
Kilpinen;1235;;;
Elomaa;1232;;;
Poutiainen;1232;;;
Kovalainen;1230;;;
Hintikka;1229;;;
Ovaskainen;1229;;;
Söderholm;1227;;;
Klemetti;1225;;;
Rouhiainen;1224;;;
Kiviranta;1223;;;
Vainikainen;1222;;;
Kuoppala;1221;;;
Kupiainen;1221;;;
Jokelainen;1220;;;
Perttula;1218;;;
Kivi;1212;;;
Mielonen;1207;;;
Viinikainen;1207;;;
Ek;1205;;;
Suuronen;1205;;;
Himanen;1202;;;
Raitanen;1202;;;
Ratilainen;1202;;;
Pietarinen;1199;;;
Fagerström;1197;;;
Tarkiainen;1197;;;
Liikanen;1189;;;
Rekola;1189;;;
Ruokonen;1186;;;
Lundberg;1185;;;
Bergström;1184;;;
Janhunen;1179;;;
Saarenpää;1179;;;
Haapamäki;1176;;;
Leskelä;1175;;;
Tuononen;1172;;;
Siivonen;1171;;;
Sarkkinen;1168;;;
Raappana;1167;;;
Rantamäki;1165;;;
Julkunen;1164;;;
Kannisto;1163;;;
Gröhn;1160;;;
Veijalainen;1159;;;
Ström;1158;;;
Parikka;1156;;;
Sundell;1153;;;
Jalava;1150;;;
Granholm;1149;;;
Granlund;1149;;;
Kirjavainen;1149;;;
Junnila;1148;;;
Saario;1145;;;
Marjamäki;1144;;;
Vesa;1144;;;
Laatikainen;1143;;;
Nikander;1143;;;
Saarikoski;1142;;;
Rahikainen;1139;;;
Ripatti;1139;;;
Vaara;1139;;;
Pentikäinen;1137;;;
Vänttinen;1134;;;
Palo;1132;;;
Tanninen;1132;;;
Myllynen;1130;;;
Sarajärvi;1130;;;
Varjonen;1130;;;
Peura;1129;;;
Kemppi;1128;;;
Lyytinen;1128;;;
Reunanen;1128;;;
Äijälä;1127;;;
Ilomäki;1126;;;
Majuri;1124;;;
Martin;1123;;;
Kunnari;1122;;;
Häggblom;1121;;;
Tölli;1121;;;
Hongisto;1120;;;
Westerholm;1118;;;
Kauranen;1117;;;
Kesti;1115;;;
Heinänen;1114;;;
Rautanen;1112;;;
Loikkanen;1111;;;
Nisula;1110;;;
Okkonen;1110;;;
Blomberg;1108;;;
Juhola;1107;;;
Oksa;1106;;;
Kekki;1104;;;
Lampela;1103;;;
Åkerlund;1103;;;
Hulkkonen;1101;;;
Rosenberg;1099;;;
Åberg;1099;;;
Paasonen;1097;;;
Lukkari;1096;;;
Katainen;1094;;;
Jutila;1092;;;
Ahlgren;1090;;;
Vilén;1089;;;
Forsberg;1085;;;
Maijala;1083;;;
Östman;1083;;;
Niinimäki;1079;;;
Ristimäki;1074;;;
Sjöholm;1073;;;
Knuutila;1069;;;
Kolari;1069;;;
Takkinen;1068;;;
Forss;1067;;;
Kontkanen;1065;;;
Vornanen;1064;;;
Korkiakoski;1061;;;
Lamminen;1061;;;
Kytölä;1058;;;
Söderström;1058;;;
Pollari;1054;;;
Tissari;1051;;;
Ropponen;1050;;;
Sorvari;1047;;;
Tuppurainen;1044;;;
Heikura;1042;;;
Lundström;1040;;;
Arvola;1038;;;
Ijäs;1037;;;
Bäckman;1036;;;
Mäkipää;1036;;;
Nilsson;1034;;;
Vikström;1033;;;
Hedman;1030;;;
Weckström;1030;;;
Aronen;1029;;;
Metso;1029;;;
Hietamäki;1027;;;
Hirvelä;1027;;;
Myllykoski;1023;;;
Roininen;1023;;;
Kela;1020;;;
Österberg;1020;;;
Tiitinen;1017;;;
Saloranta;1015;;;
Uutela;1015;;;
Lempiäinen;1014;;;
Similä;1014;;;
Malm;1010;;;
Korpinen;1007;;;
Juutinen;1006;;;
Puurunen;1006;;;
Härmä;1004;;;
Kaasinen;1003;;;
Markkula;1003;;;
Palm;1001;;;
Strömberg;1001;;;
Olli;1000;;;
Kapanen;998;;;
Ekström;994;;;
Peltokangas;989;;;
Hildén;988;;;
Björkman;986;;;
Kemppinen;984;;;
Ylikoski;983;;;
Lång;982;;;
Rajaniemi;982;;;
Hassan;981;;;
Hujanen;981;;;
Nummi;979;;;
Järveläinen;978;;;
Porkka;978;;;
Rahkola;978;;;
Roivainen;978;;;
Yrjölä;978;;;
Haarala;977;;;
Toikkanen;977;;;
Hintsala;975;;;
Pärssinen;975;;;
Tuukkanen;973;;;
Kallinen;972;;;
Katajisto;972;;;
Koivukangas;971;;;
Niva;970;;;
Höglund;969;;;
Rusanen;969;;;
Suorsa;968;;;
Surakka;966;;;
Salomäki;964;;;
Laitala;963;;;
Luukkanen;962;;;
Uimonen;962;;;
Viljamaa;960;;;
Teittinen;956;;;
Pulliainen;953;;;
Rannikko;953;;;
Virkki;952;;;
Ilvonen;948;;;
Kröger;947;;;
Törmä;946;;;
Österlund;946;;;
Syrjä;945;;;
Loponen;943;;;
Ikävalko;942;;;
Könönen;942;;;
