Etunimi;Lukumäärä;;;
Charlotta;3 939;;;
Hilda;3 933;;;
Marianna;3 921;;;
Kaisu;3 916;;;
Laila;3 916;;;
Sirkka-Liisa;3 879;;;
Heini;3 868;;;
Aira;3 865;;;
Taimi;3 790;;;
Anette;3 773;;;
Josefina;3 667;;;
Heleena;3 665;;;
Rauha;3 645;;;
Mila;3 619;;;
Neea;3 595;;;
Matleena;3 566;;;
Eira;3 530;;;
Rauni;3 510;;;
Joanna;3 509;;;
Wilhelmiina;3 499;;;
Sirkku;3 471;;;
Karin;3 460;;;
Rosa;3 414;;;
Peppi;3 408;;;
Victoria;3 404;;;
Saga;3 394;;;
Helmiina;3 372;;;
Jemina;3 370;;;
Sylvi;3 343;;;
Iris;3 310;;;
Senja;3 304;;;
Saimi;3 234;;;
Mirva;3 185;;;
Loviisa;3 148;;;
Anna-Maija;3 147;;;
Tytti;3 132;;;
Ingeborg;3 103;;;
Oili;3 075;;;
Natalia;3 063;;;
Eeva-Liisa;3 055;;;
Birgit;3 038;;;
Janika;3 026;;;
Stella;3 022;;;
Edith;3 015;;;
Astrid;2 984;;;
Linnéa;2 963;;;
Inari;2 958;;;
Monica;2 933;;;
Vappu;2 927;;;
Vanessa;2 921;;;
Fanny;2 897;;;
Vieno;2 885;;;
Vilja;2 864;;;
Janette;2 858;;;
Soili;2 835;;;
Annina;2 833;;;
Jutta;2 784;;;
Selma;2 759;;;
Eliina;2 741;;;
Ingrid;2 729;;;
Fanni;2 694;;;
Lydia;2 689;;;
Sandra;2 665;;;
Netta;2 664;;;
Teresa;2 649;;;
Isabel;2 639;;;
Alli;2 632;;;
Kiia;2 629;;;
Sanelma;2 626;;;
Tyyne;2 610;;;
Tea;2 602;;;
Anne-Mari;2 588;;;
Janita;2 582;;;
Aini;2 578;;;
Lilian;2 537;;;
Piritta;2 536;;;
Hertta;2 532;;;
Mimosa;2 526;;;
Mona;2 487;;;
Daniela;2 484;;;
Karita;2 478;;;
Jade;2 477;;;
Mirka;2 474;;;
Nora;2 465;;;
Senni;2 441;;;
Anelma;2 439;;;
Regina;2 425;;;
Maila;2 424;;;
